Entity ID,Entity Name,Plant ID,Plant Name,Sector,Plant State,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Retirement Month,Retirement Year,Operating Month,Operating Year,County,Latitude,Longitude,Balancing Authority Code
13756,Northern Indiana Pub Serv Co,995,Bailly,Electric Utility,IN,7,,190.4,160.0,160.0,Conventional Steam Coal,BIT,ST,6,2018,11,1962,Porter,41.645000,-87.122500,MISO
13756,Northern Indiana Pub Serv Co,995,Bailly,Electric Utility,IN,8,,413.1,320.0,320.0,Conventional Steam Coal,BIT,ST,6,2018,7,1968,Porter,41.645000,-87.122500,MISO
60415,"CP Crane Power, LLC",1552,"CP Crane Power, LLC",IPP Non-CHP,MD,1,,190.4,190.0,190.0,Conventional Steam Coal,SUB,ST,6,2018,7,1961,Baltimore,39.323604,-76.365120,PJM
60415,"CP Crane Power, LLC",1552,"CP Crane Power, LLC",IPP Non-CHP,MD,2,,209.4,195.0,195.0,Conventional Steam Coal,SUB,ST,6,2018,2,1963,Baltimore,39.323604,-76.365120,PJM
4922,Dayton Power & Light Co,2850,J M Stuart,Electric Utility,OH,2,,610.2,577.0,577.0,Conventional Steam Coal,BIT,ST,6,2018,10,1970,Adams,38.636100,-83.693900,PJM
4922,Dayton Power & Light Co,2850,J M Stuart,Electric Utility,OH,3,,610.2,577.0,577.0,Conventional Steam Coal,BIT,ST,6,2018,5,1972,Adams,38.636100,-83.693900,PJM
4922,Dayton Power & Light Co,2850,J M Stuart,Electric Utility,OH,4,,610.2,577.0,577.0,Conventional Steam Coal,BIT,ST,6,2018,6,1974,Adams,38.636100,-83.693900,PJM
4922,Dayton Power & Light Co,6031,Killen Station,Electric Utility,OH,2,,660.6,600.0,600.0,Conventional Steam Coal,BIT,ST,6,2018,6,1982,Adams,38.690300,-83.480300,PJM
20847,Wisconsin Electric Power Co,6170,Pleasant Prairie,Electric Utility,WI,1,,616.6,594.0,594.0,Conventional Steam Coal,RC,ST,4,2018,6,1980,Kenosha,42.538100,-87.903300,MISO
20847,Wisconsin Electric Power Co,6170,Pleasant Prairie,Electric Utility,WI,2,,616.6,594.0,594.0,Conventional Steam Coal,RC,ST,4,2018,7,1985,Kenosha,42.538100,-87.903300,MISO
18642,Tennessee Valley Authority,3393,Allen,Electric Utility,TN,1,,330.0,247.0,250.0,Conventional Steam Coal,SUB,ST,3,2018,5,1959,Shelby,35.074087,-90.148680,TVA
18642,Tennessee Valley Authority,3393,Allen,Electric Utility,TN,2,,330.0,247.0,250.0,Conventional Steam Coal,SUB,ST,3,2018,5,1959,Shelby,35.074087,-90.148680,TVA
18642,Tennessee Valley Authority,3393,Allen,Electric Utility,TN,3,,330.0,247.0,250.0,Conventional Steam Coal,SUB,ST,3,2018,10,1959,Shelby,35.074087,-90.148680,TVA
55983,Luminant Generation Company LLC,3497,Big Brown,IPP Non-CHP,TX,1,,593.4,606.0,606.0,Conventional Steam Coal,SUB,ST,2,2018,12,1971,Freestone,31.820600,-96.054400,ERCO
55983,Luminant Generation Company LLC,3497,Big Brown,IPP Non-CHP,TX,2,,593.4,602.0,602.0,Conventional Steam Coal,SUB,ST,2,2018,12,1972,Freestone,31.820600,-96.054400,ERCO
9617,JEA,207,St Johns River Power Park,Electric Utility,FL,1,,679.0,626.0,638.0,Conventional Steam Coal,BIT,ST,1,2018,4,1987,Duval,30.430800,-81.550800,JEA
9617,JEA,207,St Johns River Power Park,Electric Utility,FL,2,,679.0,626.0,638.0,Conventional Steam Coal,BIT,ST,1,2018,7,1988,Duval,30.430800,-81.550800,JEA
55983,Luminant Generation Company LLC,6147,Monticello,IPP Non-CHP,TX,1,,593.4,535.0,580.0,Conventional Steam Coal,SUB,ST,1,2018,12,1974,Titus,33.091700,-95.041700,ERCO
55983,Luminant Generation Company LLC,6147,Monticello,IPP Non-CHP,TX,2,,593.4,535.0,580.0,Conventional Steam Coal,SUB,ST,1,2018,12,1975,Titus,33.091700,-95.041700,ERCO
55983,Luminant Generation Company LLC,6147,Monticello,IPP Non-CHP,TX,3,,793.2,795.0,795.0,Conventional Steam Coal,SUB,ST,1,2018,6,1995,Titus,33.091700,-95.041700,ERCO
55983,Luminant Generation Company LLC,6648,Sandow No 4,IPP Non-CHP,TX,4,,590.6,600.0,600.0,Conventional Steam Coal,LIG,ST,1,2018,5,1981,Milam,30.565871,-97.064030,ERCO
55983,Luminant Generation Company LLC,52071,Sandow No 5,IPP Non-CHP,TX,5,,661.5,600.0,600.0,Conventional Steam Coal,LIG,ST,1,2018,1,2010,Milam,30.568100,-97.061400,ERCO
17833,City Utilities of Springfield - (MO),2161,James River Power Station,Electric Utility,MO,1,,22.0,21.0,21.0,Conventional Steam Coal,SUB,ST,12,2017,8,1957,Greene,37.108611,-93.261940,SWPP
17833,City Utilities of Springfield - (MO),2161,James River Power Station,Electric Utility,MO,2,,22.0,21.0,21.0,Conventional Steam Coal,SUB,ST,12,2017,6,1957,Greene,37.108611,-93.261940,SWPP
17833,City Utilities of Springfield - (MO),2161,James River Power Station,Electric Utility,MO,3,,44.0,41.0,41.0,Conventional Steam Coal,SUB,ST,12,2017,2,1960,Greene,37.108611,-93.261940,SWPP
15473,Public Service Co of NM,2451,San Juan,Electric Utility,NM,2,,369.0,340.0,340.0,Conventional Steam Coal,BIT,ST,12,2017,11,1973,San Juan,36.800600,-108.438600,PNM
15473,Public Service Co of NM,2451,San Juan,Electric Utility,NM,3,,555.0,497.0,497.0,Conventional Steam Coal,BIT,ST,12,2017,12,1979,San Juan,36.800600,-108.438600,PNM
18642,Tennessee Valley Authority,3406,Johnsonville,Electric Utility,TN,1,,125.0,107.0,113.0,Conventional Steam Coal,SUB,ST,12,2017,10,1951,Humphreys,36.027800,-87.986100,TVA
18642,Tennessee Valley Authority,3406,Johnsonville,Electric Utility,TN,2,,125.0,107.0,113.0,Conventional Steam Coal,SUB,ST,12,2017,11,1951,Humphreys,36.027800,-87.986100,TVA
18642,Tennessee Valley Authority,3406,Johnsonville,Electric Utility,TN,3,,125.0,107.0,113.0,Conventional Steam Coal,SUB,ST,12,2017,2,1952,Humphreys,36.027800,-87.986100,TVA
18642,Tennessee Valley Authority,3406,Johnsonville,Electric Utility,TN,4,,125.0,107.0,113.0,Conventional Steam Coal,SUB,ST,12,2017,4,1952,Humphreys,36.027800,-87.986100,TVA
733,Appalachian Power Co,3936,Kanawha River,Electric Utility,WV,1,,219.6,200.0,200.0,Conventional Steam Coal,BIT,ST,12,2017,7,1953,Kanawha,38.205600,-81.421100,PJM
733,Appalachian Power Co,3936,Kanawha River,Electric Utility,WV,2,,219.6,200.0,200.0,Conventional Steam Coal,BIT,ST,12,2017,12,1953,Kanawha,38.205600,-81.421100,PJM
5109,DTE Electric Company,1743,St Clair,Electric Utility,MI,4,,168.7,151.0,158.0,Conventional Steam Coal,RC,ST,11,2017,10,1954,St Clair,42.764200,-82.471900,MISO
4922,Dayton Power & Light Co,2850,J M Stuart,Electric Utility,OH,1,,610.2,577.0,577.0,Conventional Steam Coal,BIT,ST,10,2017,5,1971,Adams,38.636100,-83.693900,PJM
15466,Public Service Co of Colorado,477,Valmont,Electric Utility,CO,5,,191.7,184.0,184.0,Conventional Steam Coal,BIT,ST,9,2017,5,1964,Boulder,40.019500,-105.202000,PSCO
58534,Brayton Point Energy LLC,1619,Brayton Point,IPP Non-CHP,MA,1,,241.0,225.2,233.2,Conventional Steam Coal,BIT,ST,6,2017,8,1963,Bristol,41.710300,-71.193100,ISNE
58534,Brayton Point Energy LLC,1619,Brayton Point,IPP Non-CHP,MA,2,,241.0,237.8,236.9,Conventional Steam Coal,BIT,ST,6,2017,7,1964,Bristol,41.710300,-71.193100,ISNE
58534,Brayton Point Energy LLC,1619,Brayton Point,IPP Non-CHP,MA,3,,642.6,575.0,584.9,Conventional Steam Coal,BIT,ST,6,2017,8,1969,Bristol,41.710300,-71.193100,ISNE
8723,City of Holland,1830,James De Young,Electric Utility,MI,4,,22.0,20.5,20.5,Conventional Steam Coal,BIT,ST,6,2017,5,1962,Ottawa,42.795600,-86.113300,MISO
8723,City of Holland,1830,James De Young,Electric Utility,MI,5,,29.3,27.0,27.0,Conventional Steam Coal,BIT,ST,6,2017,6,1969,Ottawa,42.795600,-86.113300,MISO
56211,KCP&L Greater Missouri Operations Co,2094,Sibley,Electric Utility,MO,1,,55.0,42.2,42.2,Conventional Steam Coal,SUB,ST,6,2017,6,1960,Jackson,39.178319,-94.184450,SWPP
15147,PSEG Fossil LLC,2408,PSEG Mercer Generating Station,IPP Non-CHP,NJ,1,,326.4,316.0,316.0,Conventional Steam Coal,BIT,ST,6,2017,12,1960,Mercer,40.179200,-74.733900,PJM
15147,PSEG Fossil LLC,2408,PSEG Mercer Generating Station,IPP Non-CHP,NJ,2,,326.4,316.0,316.0,Conventional Steam Coal,BIT,ST,6,2017,6,1961,Mercer,40.179200,-74.733900,PJM
18642,Tennessee Valley Authority,1378,Paradise,Electric Utility,KY,1,,704.0,628.0,659.0,Conventional Steam Coal,BIT,ST,4,2017,11,1963,Muhlenberg,37.260800,-86.978300,TVA
18642,Tennessee Valley Authority,1378,Paradise,Electric Utility,KY,2,,704.0,602.0,633.0,Conventional Steam Coal,BIT,ST,4,2017,5,1963,Muhlenberg,37.260800,-86.978300,TVA
13407,Nevada Power Co,2324,Reid Gardner,Electric Utility,NV,4,,294.8,257.0,255.0,Conventional Steam Coal,BIT,ST,3,2017,7,1983,Clark,36.657347,-114.633300,NEVP
7570,Great River Energy,2824,Stanton,Electric Utility,ND,1,,190.2,187.2,187.2,Conventional Steam Coal,SUB,ST,3,2017,4,1967,Mercer,47.286643,-101.331900,MISO
55808,Westmoreland Partners,54035,Roanoke Valley Energy Facility I,IPP CHP,NC,GEN1,,182.3,165.0,167.2,Conventional Steam Coal,BIT,ST,2,2017,3,1994,Halifax,36.436400,-77.616700,PJM
55808,Westmoreland Partners,54755,Roanoke Valley Energy Facility II,IPP CHP,NC,GEN2,,57.8,44.0,45.1,Conventional Steam Coal,BIT,ST,2,2017,2,1995,Halifax,36.436400,-77.616700,PJM
19204,City of Trinidad - (CO),511,Trinidad (CO),Electric Utility,CO,1,,3.7,3.8,3.8,Conventional Steam Coal,BIT,ST,1,2017,5,1950,Las Animas,37.178979,-104.487500,WACM
57440,"SABIC IP Mt. Vernon, LLC",58063,SABIC Innovative Plastics Mt. Vernon,Industrial CHP,IN,1,,5.5,3.0,3.0,Conventional Steam Coal,BIT,ST,1,2017,6,1996,Posey,37.910278,-87.926110,MISO
3989,City of Colorado Springs - (CO),492,Martin Drake,Electric Utility,CO,5,,50.0,46.0,46.0,Conventional Steam Coal,SUB,ST,12,2016,11,1962,El Paso,38.824444,-104.833300,WACM
15470,"Duke Energy Indiana, LLC",1010,Wabash River,Electric Utility,IN,6,,387.0,318.0,318.0,Conventional Steam Coal,BIT,ST,12,2016,8,1968,Vigo,39.530000,-87.424700,MISO
11732,City of Marshall - (MO),2144,Marshall (MO),Electric Utility,MO,5,,16.5,16.0,16.2,Conventional Steam Coal,BIT,ST,12,2016,7,1967,Saline,39.122800,-93.206400,SWPP
56730,Cedar Bay Operating Services LLC,10672,Cedar Bay Generating Company LP,IPP CHP,FL,GEN1,,291.6,250.0,250.0,Conventional Steam Coal,BIT,ST,12,2016,1,1994,Duval,30.422500,-81.606400,JEA
14310,P H Glatfelter Co,50397,P H Glatfelter,Industrial CHP,PA,GEN2,,5.9,4.0,3.9,Conventional Steam Coal,BIT,ST,12,2016,4,1975,York,39.870935,-76.868120,PJM
