table_name,country,district,units,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Austria,"Columbia-Snake, OR",kilograms,0,0,0,0,127500,0,0,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Austria,"New York, NY",kilograms,0,0,8165,0,0,0,0,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Austria,"Norfolk, VA",kilograms,0,0,0,1134036,0,0,0,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"Charleston, SC",kilograms,0,0,0,0,1369633,0,7882,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"Charlotte, NC",kilograms,0,0,0,25583,0,0,0,211465010
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"Cleveland, OH",kilograms,0,0,0,0,2662,0,0,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"Houston-Galveston, TX",kilograms,0,0,0,0,0,325813,0,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"Mobile, AL",kilograms,0,0,95026635,84439000,26726,98606633,46459147,26692901
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"New Orleans, LA",kilograms,0,0,0,0,44715300,0,0,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"New York, NY",kilograms,0,0,0,0,0,205360,0,523129
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"Norfolk, VA",kilograms,0,0,240521222,289419823,161810464,171438548,80407927,121672110
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"Port Arthur, TX",kilograms,0,0,1700000,0,0,0,0,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"San Francisco, CA",kilograms,0,0,0,0,34071,0,0,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"Savannah, GA",kilograms,0,0,135304626,160783581,264287417,194078074,123295812,161095654
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Belgium,"Tampa, FL",kilograms,0,0,23000000,0,26100,145390011,56120070,15957338
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Cyprus,"Savannah, GA",kilograms,0,0,0,0,0,24500,0,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Czech Republic,"New York, NY",kilograms,0,0,0,0,0,9412,8799,4572
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Denmark,"Charleston, SC",kilograms,0,0,0,1234915,832751,50800,0,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Denmark,"Charlotte, NC",kilograms,0,0,0,0,0,0,0,11165535
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Denmark,"Houston-Galveston, TX",kilograms,0,0,0,0,1020959,0,0,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Denmark,"Mobile, AL",kilograms,0,0,0,0,28156007,0,0,42073558
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Denmark,"New York, NY",kilograms,0,0,0,0,0,16783,0,1126540
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Denmark,"Norfolk, VA",kilograms,0,0,0,2332300,10580581,376120,37179710,857933
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Denmark,"Port Arthur, TX",kilograms,0,0,0,0,0,0,0,13061280
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Denmark,"San Francisco, CA",kilograms,0,0,0,0,0,24165,640,0
"First Unit of Quantity by Country Name, District and First Unit of Quantity",Denmark,"Savannah, GA",kilograms,0,0,29201000,113623483,64492178,875000,777524,27050185
